,deu,nds
11708,Glücklicherweise wurde niemand nass.,To ’n Glück is nüms natt worrn.
17183,Sie kommt aus Italien.,Se kummt ut Italien.
19657,Kraftwerk veröffentlichte nach der Tour de France 2003 das Konzeptalbum Tour de France Soundtracks.,Kraftwerk hett nah de Tour de France 2003 dat Konzeptalbum Tour de France Soundtracks herutbrocht.
15571,"Probiere diesen Wein, um zu sehen, ob du ihn magst.","Prööv dissen Wien, üm to sehn, wat du em magst."
13808,"Alles, was ich hatte, habe ich dir gegeben.","Allens, wat ik harr, heff ik di geven."
19920,Ennis arbeitete auch für Comedy-Produktionen und hatte in den 1940er Jahren eine Anstellung in Bob Hopes Radioprogramm.,Ennis hett ok för Comedy-Produktschonen arbeit un harr in de 1940er Johren en Anstellung in Bob Hopes Radioprogramm.
9878,"Der Turm, den Sie hier sehen, ist der Eiffelturm.","De Toorn, den ji hier seht, is de Eiffeltoorn."
26072,"In der Grotte liegt die Öffnung neben dem Fenster im Fußboden, allerdings durch Zement verschlossen.","In de Grotte liggt de Öffnung neven dat Finster in de Footböön, allerdings dör Zement slooten."
15636,Der Motor will nicht anspringen.,De Motoor woll nich starten.
31897,Evans erwarb sich seinen ersten Ruhm in den Jamsessions im Jazz District zwischen der zwölften und achtzehnten Straße von Kansas City.,Evans harr sien eersten Spood in de Jamsessions in den Jazz District tüschen de twalft un achteihnst Straat vun Kansas City.
5488,Bitte nicht berühren.,Nich anrögen.
20110,"Weitere Teilnehmer waren Mia Farrow, Mike Love und Donovan.","Anner Deelnehmers weern Mia Farrow, Mike Love un Donovan."
3332,Japan und Südkorea sind Nachbarländer.,Japan un Süüdkorea sünd Naverlänner.
11821,Wir sind schon lange gut befreundet.,Wi sünd al lang gode Frünnen.
14268,"Sie tat, was sie konnte, um mir zu schaden.","Se deed, wat se kunn, üm mi to schaden."
6160,Letztes Jahr um diese Zeit lag viel Schnee.,Vergangen Jahr düsse Tied leeg veel Snee.
9663,Sie schaute ihm beim Essen zu.,Se keek em bi ’t Eten to.
31668,1641 war sein Vater nachweislich Organist an der St. Olaikirche in Helsingør.,1641 weer sien Vadder Organist an de St. Olaikark in Helsingør.
2999,Wie fühlst du dich heute?,Wo föhlst du di vondaag?
27813,"Ihre Eltern Jacqueline und Chris Watson, die beide Anwälte sind, ließen sich 1995 scheiden.","Ehr Öllern Jaqueline Watson un Chris Watson, de beide Afkaten sünd, hebbt sik 1995 scheden laten."
178,"Schämst du dich nicht, so zu reden?","Schaamst du di nich, so to snacken?"
26145,1966 wurde die Bahnstrecke elektrifiziert.,1966 is de Bahnlien elektrifizeert worrn.
6976,"Hier ist das Buch, nach dem du suchst.","Hier is dat Book, na dat du söchst."
1616,Wir spielen jeden Sonnabend Fußball.,Wi speelt elk Sünnavend Football.
19865,"Durch die Zusammenarbeit mit der Sängerin June Tyson gelang es ihm, das Publikum zu fesseln.",Döör de Tosommenarbeit mit de Singerin June Tyson kunn he wiederhenn dat Publikum fesseln.
14417,Ich ertrinke!,Ik versuup!
4419,Wie spät ist es gerade in San Francisco?,Wo laat is dat jüst in San Francisco?
14514,Bist du noch zu retten?,Büst du noch to redden?
4616,Heute habe ich viel zu tun.,Vondaag heff ik veel to doon.
14203,Der Alte übertreibt gerne.,De Ool överdrifft geern.
10815,"Wo ist denn das Buch hingekommen, das ich gerade hier hingelegt hatte?","Wo is denn dat Book henkamen, dat ik jüst hier henleggt harr?"
31319,Mitglieder der OPCW sind die Vertragsstaaten des Chemiewaffenübereinkommens.,Liddmaten vun de OPCW sünd de Verdragsstaaten vun dat Chemiewapenöverinkamen.
15594,Meine Stadt liegt an der See.,Mien Stadt liggt an de See.
20013,Der Norden war kaum betroffen.,De Noord hett nich veel afkregen.
1649,Muss er so schnell rennen?,Mutt he so hart lopen?
5784,"Ich weiß nicht, was ich gewinne oder verliere.","Ik weet nich, wat ik winnen oder verleren do."
13859,Sie fürchtet nichts.,Se is narms bang vör.
5565,Er konnte nicht gut mit seinen Nachbarn zurechtkommen.,He kunn nich goot mit sien Navers trechkamen.
11813,Hunger kennt keine Gesetze.,Hunger kennt keen Gesetten.
44580,Das Schloss ist auch Zentralstelle der Litauer in Deutschland.,Dat Slott is ok Zentralstäe vun de Litauer in Düütsland.
9365,Ich schicke sie nach Kalifornien.,Ik schken ehr na Kalifornien.
9239,Gibt es viele schöne Schlösser in Norddeutschland?,Gifft dat veel schöön Slötter in Noorddüütsland?
4381,Kannst du einen 1000-Yen-Schein wechseln?,Kannst du en 1000-Yen-Schien wesseln?
12514,"Wem die Kuh gehört, der fasse sie beim Schwanz.","’Keen de Koh tohöört, faat se bi ’n Steert."
25205,"Für einige Zeit betrieb er private Studien in Astronomie, Mathematik und Sprachen.","En Tiet lang hett he private Studien bedreven op de Fedder vun de Astronomie, Mathematik un Spraken."
41677,"Seine Wahl verdankte er der Unterstützung durch den jungen Kaiser Otto III., der sein Schüler war.","Sien Wahl verdank he de Ünnerstütten dör den jungen Kaiser Otto III., de sien Schöler weer."
7109,Zwischen den Blumen wuchs viel Unkraut.,Mank de Blomen wüss veel Unkruud.
16714,Thomas war sehr ängstlich.,Tom weer bannig bang.
3227,Warum nicht?,Worüm nich?
11827,Mein Vater hat die Wände weiß gestrichen.,Mien Vadder hett de Wannen witt streken.
17561,"Die Reparaturen dauerten ein Jahr, der Block 2 wurde 1990 stillgelegt.","De Reparaturen hebbt een Jahr duert, de Block 2 is 1990 stillleggt worrn."
41220,"1934 gründete er sein eigenes Team A.Leducq-Mercier, für das er bis 1939 an den Start ging.","1934 hett he sien egen Team A.Leducq-Mercier grünnd, för dat he bet 1939 an den Start gung."
4152,Die Sonne geht im Osten auf und im Westen unter.,De Sünn geiht in ’n Oost op un in ’n West ünner.
4464,Soll ich dir ein Taxi rufen?,Schall ik di en Taxi ropen?
16362,Ich habe Tom geschrieben.,Ik heff Tom schrieven.
18152,Im Juni 1983 erschien die Single Tour de France.,In' Juni 1983 keem de Single Tour de France herutbrocht.
10291,Die Achse an dem Ackerwagen war gebrochen.,De Ass an ’n Ackerwagen weer braken.
11635,Was macht deine Schwester jetzt?,Wat maakt dien Süster nu?
11252,In diesem Hotel sind Hunde nicht erlaubt.,In dit Hotel sünd Hunnen nich verlöövt.
38027,"Er gründete die Firma Champion Ignition Company, die 1909 in AC Spark Plug Co umbenannt wurde.","He hett de Firma Champion Ignition Company, grünnd, de 1909 in AC Spark Plug Co umnömmt wurr."
11449,Er sitzt neben seinem Bruder.,He sitt blangen sien Broder.
26482,"Sein Spiel beeindruckte Miles Davis so sehr, dass er ihn zu seiner nächsten Aufnahmesession einlud (Collectors’ Items).","Sien Speel hett Miles Davis so düchtig beindruckt, dat he em to de nächst Op inladen hett."
648,"Niemand wusste, wo sie war.","Nüms wüss, woneem se weer."
18696,"Zumindest lässt sich einwenden, dass nicht seine Stücke absurd sind, sondern die Umstände, in denen die Figuren seiner Stücke leben.","Tomindst lett sück inwennen, dat nich sien Stück absurd sünd, sünnern de Umstände, in de de Figuren vun sien Stück leven."
14149,Hast du eine Geige?,Hest du en Vigelien?
8691,"Ich weiß noch, was du gesagt hast.","Ik weet noch, wat du seggt hest."
2280,Ich habe Dan besucht.,Ik heff Dan besöcht.
2708,Eine Reise zum Mond in einem Raumschiff ist nicht länger ein Traum.,En Reis na ’n Maand in en Ruumschipp is nich länger en Droom.
34270,Er absolvierte im Jahr 1974 die USC School of Cinema-Television.,He hett in dat Jahr 1974 is USC School of Cinema-Television afslaten.
521,Schließe deine Augen drei Minuten lang.,Sluut dien Ogen dree Minuten lang.
21619,Die Gemeinde selbst ist noch sehr jung.,De Samtgemeen is noch jung.
14853,Wozu sind die gut?,Wo sünd de to goot?
13803,Was sind die besten davon?,Wat för welk sünd de besten?
24424,Er führt das ganze Jahr über Wasser.,De hett dat ganze Jahr över Water.
855,Ich will ein eigenes Zimmer.,Ik will en egen Kamer.
3895,Ihr liefen Freudentränen über die Wangen.,Ehr löpen vör Freud Tranen de Backen dal.
2511,Er hatte graue Haare.,He hadde grieset haor.
6757,Ich habe schon lange nichts mehr von ihm gehört.,Ik heff al lang nix mehr vun em höört.
249,"Ich weiß nicht, was ich sagen soll.","Ik weet nich, wat ik seggen schall."
12725,Vergiss es!,Vergeet dat!
13905,Der Junge schaute in das Zimmer.,De Jung keek in de Kamer.
2625,Mein Freund Tom hat doppelt so viele Briefmarken wie ich.,Mien Fründ Tom hett dubbelt so veel Breevmarken as ik.
7468,"Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.","De Buurn harrn fief Ossen un negen Keih un twölv Schaap vör dat Dörp bröcht, de wullen se verköpen."
16123,"Hast du nicht gesagt, dass dein Wagen gestohlen worden sei?","Hest du nich seggt, dat dien Wagen stahlen worrn is?"
13449,Meine Haut wird in der Sonne schnell braun.,Miene Huut warrt an ’e Sünn gau bruun.
17738,"Er schuf für diesen Saal 1818/19 sechs großformatige, dekorative Tableaus mit italienischen Ideallandschaften.","He hett för dissen Saal 1818/19 söss grootformatige, dekorative Tableaus mit italieensch Ideallandschapen schafft."
20879,"1855 wurde das Seebad gegründet, 50 Jahre später erhielt Westerland die Stadtrechte.","1855 wurr dat Seebad grünnd, 50 Jahr later kreeg Westerland de Stadtrechten."
15118,Was ist das heute wieder für ein Mistwetter!,Wat is dat vandage weer förn Schietwedder!
2912,Es gibt keinen Zweifel.,Dat gifft keen Twiefel.
15630,Ich habe gerade Sushi gegessen und Bier getrunken.,Ik heff jüst Sushi eten un Beer drunken.
18542,Um 1980 spielte er mit Pharoah Sanders und mit Ahmad Jamal.,Um 1980 speel he mit Pharoah Sanders un mit Ahmad Jamal.
3566,Ich möchte nicht die Hundescheiße wegmachen.,Ik will nich de Hunnschiet wegmaken.
4732,Der Unfall ist vorgestern passiert.,De Unfall weer ehrgüstern.
19234,Es ist dann deutlich härter als Platin.,Denn is dat düütlich harder as Platin.
18905,1969 wirkte er an dem letzten Album der Psychedelic Rock-Band Ultimate Spinach mit.,1969 hett he an dat letzt Album vun de Psychedelic Rock-Band Ultimate Spinach mitwarkt.
31120,Ebenfalls zu dieser Zeit begann seine lebenslange Freundschaft mit Ignaz Moscheles.,Ebenfalls to düsse Tiet fung sien levenslang Früendschap mit Ignaz Moscheles.
38614,"Nach einem Wissenschaftsjahr an der Free University of Brussels erhielt Edwards 1985 in Cambridge eine Professur für Reproduktionsmedizin, die er bis 1989 innehatte.","Nah en Wetenschapsjohr an de Freden University of Brussels kreeg Edwards 1985 in Cambridge en Professur för Reprodukschoonsmedizin, de he bet 1989 harr."
974,Sie streitet sich ständig mit ihren Eltern.,Se striddt sik ümmer mit ehr Öllern.
27390,Die Schreibweise tsh kann außer für auch noch für und stehen.,De Schrievwies tsh kann anners as för ok noch för un stahn.
3285,"Die Suppe, die ich hatte, war so heiß, dass ich sie nicht trinken konnte.","De Supp, de ik harr, weer so heet, dat ik ehr nich drinken kunn."
6669,Gegen Dummheit gibt es keine Medizin.,Gegend Dummheid gifft dat keen Medizin.
18028,Originalhörspiel: Stanisław Lem.,Originalhöörspeel: Stanisław Lem.
45515,1611 wurde Petermann pensioniert und starb noch im gleichen Jahr.,1611 is Petermann in Rohstand gahn un noch in dat sülve Jahr doodbleven.
7136,Nur wenige Studenten benutzen heutzutage Bleistifte.,Bloot minn Studenten bruukt vondaag noch Bleestken.
2782,Das ist mein Fahrrad.,Dat is mien Fohrrad.
2062,Sie kaufte ein Dutzend Eier.,Se hett een Dutz Eier köfft.
5709,Hast du das das erste Mal gekostet?,Gest du dat to ’n eersten Maal pröövt?
13856,"Gesetze sind wie Spinnweben, die kleine Fliegen einfangen, aber Wespen und Hornissen durchbrechen lassen.","Gesetten sünd as Spinnweven, de lütte Flegen infangt, man Wöpschen un Peerhöörnken dörbreken lett."
11778,"Das ärgert mich, dass ich die Chance verpasst habe, sie zu treffen.","Dat spiet mi, dat ik de Changs misst heff ehr to drapen."
3636,Ich möchte zahlen.,Ik will betahlen.
2001,Wir haben die Reinigung des Klassenraumes beendet.,Wi sünd mit dat Reinmaken vun de Klass trech.
6141,Heute Morgen hat es bei uns geschneit.,Vonmorgen hett dat bi uns sneet.
7966,"Papa, kaufe mir eine Vuvuzela!","Papa, kööp mi en Vuvuzela!"
19618,Der spätere Kaiser Julius Nepos wird Magister militum für Dalmatien.,De latere Kaiser Julius Nepos warrt Magister militum för Dalmatien.
13381,Das Buch handelt von Sternen.,Dit Book is över Steerns.
13323,Nach dem Sonntag kommt der Montag.,Na ’n Sünndag kummt de Maandag.
1432,Seine Theorie ist schwer zu verstehen.,Siene Theorie is swaar to verstahn.
22773,Während dieser Zeit war er häufiger in Afrika und war so unter anderem persönlicher Kameramann Haile Selassies.,"In düsse Tiet weer he fakener in Afrika, woneem he ünner ännern de persöönliche Kameramann vun Haile Selassie weer."
34920,Am Ende der Tour verließ Dolphy die Band.,An Enn‘ vun de Tour hett Dolphy de Band verlaaten.
2694,Morgen wird es wahrscheinlich schneien.,Morgen schall dat wahrschienlich sneen.
14708,Lass sehen.,Laat sehn.
8364,Ich schreibe sehr oft Beiträge für Wikipedia.,Ik schriev faken Bidrääg för Wikipedia.
14293,Ich aß Käse-Tortillas zum Frühstück.,Ik heff Kees-Tortillas to ’n Fröhstück eten.
9531,Eine Krone und fünfzig Öre.,Een Kroon un föfftig Öre.
16341,Wir müssen ihm helfen.,Wi mööt em helpen.
10066,Ich habe Durchfall.,Ik heff en Schetter.
23606,"Neben seiner politischen Karriere war er bis 1983 Geschäftsführer von Tibiyo Taka Ngwane, einem der bedeutendsten Wirtschaftsunternehmen seines Landes.","Neben sien politisch Karriere weer he bet 1983 Geschäftsführer vun Tibiyo Taka Ngwane, en vun dat bedüüdenst Wertschapsünnernehmen vun sien Land."
9515,"Sie hat aufgehört, den Brief zu lesen.","Se hett ophöört, den Breef to lesen."
6541,Sie muss am Samstag nicht zur Schule.,Se mutt Sünnavend nich na School.
13888,Deine Nase läuft!,Dien Nees löppt!
9006,"Ich meine, was ich sage.","Ik meen, wat ik segg."
21907,"Die dotar wird mit den Fingern der rechten Hand angeschlagen, nicht mit einem Plektron.","De dotar wurrd mit de Finger vun de recht Hand anslahn, nich mit en Plektron."
14086,Es steht ein Glas auf dem Tisch.,Dor steiht en Glas op ’n Disch.
19776,Für eine Tournee ließ sich die ganze Band kahl rasieren.,För en Tournee leet sück de ganze Band kahl raseeren.
16617,Sie beginnen an ihre eigene Lüge zu glauben.,"De fangt an, de egen Löög to glöven."
12069,Antimaterie ist ziemlich instabil.,Antimateer is temlich instabil.
23001,Seit der ersten Austragung wird das Rennen von der Gazzetta dello Sport organisiert.,Siet de eerst Utdragen wurrd dat Rennen vun de Gazzetta dello Sport organiseert.
9369,"Na, du bist aber ein Schlingel.","Na, du büst aver en Slüngel."
4830,Wie viel hast du dafür bezahlt?,Woveel hest du dar för betahlt?
3771,Das ist einfach.,Dat is eenfach.
4947,Er pflügt eine gerade Furche.,He plöget nee graode Fuor.
30021,1906 gründete er zusammen mit seinem Vetter Gorch Fock die Finkwarder Speeldeel.,1906 hett he tohoop mit Gorch Fock ok de Finkwarder Speeldeel grünnt.
29988,Einen Tag vor der Wahl wurden Rede- und Versammlungsverbote erlassen.,En Dag vör de Wahl wurrn Reed- un Versammelnsverbote erlaaten.
14391,"Ich bin Finne, aber ich spreche auch Schwedisch.","Ik bün Finn, man ik snack ok Sweedsch."
24241,Jenes Zeitalter ist auch als Pornokratie bekannt.,Dat Tietöller is ok as Pornokratie bekannt.
3385,Ich werde dir ein Buch geben.,Ik will di dat Book geven.
21129,"Seinen bedeutendsten Auftrag erhielt er 1481, als er eingeladen wurde, Fresken für die Sixtinische Kapelle in Rom zu malen.","Sien bedüüdendsten Opdrag kreeg he 1481, as he inlaaden wurr, Fresken för de Sixtinisch Kapelle in Rom to malen."
5263,Sie hat ein gutes Herz.,Se harr en goot Hart.
13736,Warum tut ihr mir das an?,Worüm doot ji mi dat an?
4846,Kinder sind ein Segen.,Kinner sünd en Segen.
43374,Bei Tvøroyri und auf Mykines gibt es interessante Säulenbasalte.,Bi Tvøroyri un op Mykines gifft dat interessante Sulenbasalte.
12404,Du hast es getan!,Du hest dat daan!
14227,Wir sind frei!,Wi sünd free!
15181,"Sieh zu, dass du das fertig bekommst!","Seh to, dat du dat trech kriggst!"
14196,Ich habe in den Achselhöhlen geschwitzt.,Ik heff ünner de Arms sweet.
28295,Ein Jahr später gewann sie in Presque Isle Bronze im Einzel der Winter-WM der Junioren.,Een Jahr later wunnern se in Presque Isle Bronze in dat Eenzelrennen bi de Winter-WM vun de Junioren.
41963,"Bei den Weltmeisterschaften 1991 gewann Tyldum mit der norwegischen Mannschaft die Silbermedaille, was die erste Medaille in seiner Karriere bedeutete.","Bi de Weltmeesterschapen 1991 wunnern Tyldum mit de norweegsch Mannschap de Sülvermedaille, wat ok de eerste Medaille in sien Loopbahn weer."
7815,"Und auf einer grünen Bank, die rot angestrichen war, saß ein blondgelockter Jüngling mit kohlrabenschwarzem Haar.","Un op en gröne Bank, de root anstreken weer, seet en Jungkeerl mit blonne Krüllen un pkswart Hoor."
15970,Das war so seine Redensart.,Dat weer so sien Snack.
3372,Ich habe es gestern gekauft.,Ik heff dat güstern verköfft.
5511,"Ich verstehe nicht, was du meinst.","Ik verstah nich, wat du meenst."
2892,Ich bin Mitglied im Schwimmverein.,Ik bün Maat in ’n Swemmvereen.
11470,Er kam gestern Nachmittag zu mir.,He keem güstern namiddag to mi.
5829,Woher hast du diese alten Münzen?,Wo hest du düsse alen Münten her?
7601,"Als ich die Vorhänge öffnete, schneite es.","As ik de Vörhäng apen maken deed, snee dat."
13371,"Ich weiß nichts von ihm, nur seinen Namen.","Ik weet nix vun em, bloot sien Naam."
